Unnamed: 0,ztfname,redshift,redshift_err,source,t0,x0,x1,c,t0_err,x0_err,x1_err,c_err,cov_t0_x0,cov_t0_x1,cov_t0_c,cov_x0_x1,cov_x0_c,cov_x1_c,mwebv,mwr_v,mwebv_err,fitprob,ra,dec,sn_type,sub_type,lccoverage_flag,fitquality_flag,iau_name,frac_fitted,blast_transient_spectroscopic_class,blast_transient_photometric_class,blast_host_name,blast_host_ra_deg,blast_host_dec_deg,blast_host_redshift,blast_host_EBV_MW,blast_local_log_mass_50,blast_local_log_sfr_50,blast_local_log_ssfr_50,blast_local_log_age_50,blast_local_mass_surviving_ratio,blast_global_log_mass_50,blast_global_log_sfr_50,blast_global_log_ssfr_50,blast_global_log_age_50,blast_global_mass_surviving_ratio
155,ZTF18aarldnh,0.10782074,2.537e-05,z_gal,58257.43942868407,0.000301456,-0.331465331,0.0443338,0.1136617087759077,1.0423735588864578e-05,0.1572547073319985,0.032033119,9.215150895714162e-09,0.010073849,-1.72e-05,-5.14e-07,-2.87e-07,0.001054041,0.012308656,3.1,0,0.026101627,195.655415,55.9257,snia-cosmo,norm,1.0,1.0,2018lpd,100.0,,,,,,,,,,,,,,,,,
156,ZTF18aarlukc,0.06258247,2.021e-05,z_gal,58643.38249767812,0.001062647,-0.452899399,-0.002241267,0.073307886,3.340725806814872e-05,0.1038481363001933,0.027487378,1.6391600536926337e-07,0.002450226,-8.13e-05,-8.02e-07,-7.78e-07,0.000298742,0.010025113,3.1,0,0.015016613,172.86865,62.1698,snia-cosmo,norm,1.0,1.0,2019ger,100.0,,,,,,,,,,,,,,,,,
161,ZTF18aarunub,0.02913002,1.701e-05,z_gal,58771.72075807519,0.002294656,2.2428861781479177,0.2979038286026753,0.775921958,0.000101767,1.163387945,0.045440365,-2.81e-05,-0.237725263,0.011024845,-1.53e-05,-3.88e-06,0.001026216,0.018721136,3.1,0,0.8589487387394827,234.553786,39.732733,snia-cosmo,norm,1.0,0.0,2019rmq,100.0,,,,,,,,,,,,,,,,,
166,ZTF18aasesgl,0.08571709,2.314e-05,z_gal,58258.19425096481,0.000275625,-1.226880727,0.1429934066749181,0.09665866,9.254503015115744e-06,0.1026141567774453,0.031042794,-6.86e-08,0.001702971,0.000239994,-2.42e-07,-2.47e-07,0.000471826,0.011478178,3.1,0,2.4776955002572443e-48,208.612637,39.722758,snia,,1.0,0.0,2018lpw,97.41935483870968,,,,,,,,,,,,,,,,,
167,ZTF18aashtth,0.09350827,1.169e-05,z_gal,58259.51361502014,0.000367909,0.3118220801317242,0.04104184,0.1525471227942034,1.2153431102567724e-05,0.1534468732453927,0.031450726,3.21877036829273e-07,-0.010988158,-0.000667474,-5.34e-07,-3.19e-07,0.000537459,0.048177479,3.1,0,0.8544433063145542,266.672511,27.589696,snia,,1.0,1.0,2018cjw,99.01960784313724,,,,,,,,,,,,,,,,,
171,ZTF18aasrsst,0.07902111,2.068e-05,z_gal,58239.36656530129,0.000534783,-1.603491913,-0.122133839,0.449455795,2.544930212909944e-05,0.5105723425356485,0.055105086,8.629929651459487e-07,-0.109466543,-0.006457632,-5.91e-06,-8.19e-07,0.002883494,0.014834329,3.1,0,0.025846502,163.159698,22.22873,snia-cosmo,norm,1.0,1.0,2018bdh,100.0,,,,,,,,,,,,,,,,,
172,ZTF18aataafd,0.07705664,1.085e-05,z_gal,58260.11126009939,0.0006408,-1.14587825,-0.132826313,0.1741296017535205,2.0848963250374173e-05,0.1456148968775145,0.029932448,5.225756471623713e-07,-0.016254763,-0.000791438,-7.91e-07,-5.3e-07,0.000740962,0.010826355,3.1,0,0.5861755773284035,214.837248,36.172048,snia-cosmo,norm,1.0,1.0,2018cbf,100.0,,,,,,,,,,,,,,,,,
178,ZTF18aaumlfl,0.08737274,2.168e-05,z_gal,58265.63507725424,0.000499188,-1.187476547,-0.083560703,0.063291142,1.5026480012039002e-05,0.073567734,0.028251714,7.963875663779359e-08,-0.000239532,-0.000254668,-8.11e-08,-3.63e-07,-9.95e-05,0.020051381,3.1,0,0.4256969462760253,244.270713,50.792461,snia-cosmo,norm,1.0,1.0,2018btg,100.0,,,,,,,,,,,,,,,,,
179,ZTF18aaunfqq,0.07108031,1.013e-05,z_gal,58267.91602744148,0.000663543,-0.825737433,0.01835056,0.05818791,2.0221341433931484e-05,0.063884095,0.027200709,-7.9e-08,0.000519696,9.059721083826324e-06,-1.78e-07,-4.75e-07,4.2823745337174513e-05,0.008497173,3.1,0,0.3097444659992364,238.579977,39.453963,snia-cosmo,norm,1.0,1.0,2018lpb,100.0,,,,,,,,,,,,,,,,,
188,ZTF18aavnxar,0.08523334,1.601e-05,z_gal,58267.90662,0.000490665,0.2735517852462147,0.025113191,0.1238542669816524,1.4633903724955988e-05,0.1167251115032536,0.028922522,-1.31e-07,0.000228073,-4.56e-05,-7.93e-08,-3.5e-07,-0.000228716,0.00737563,3.1,0,0.003645146,194.344223,26.814796,snia,,1.0,1.0,2018bzz,100.0,,,,,,,,,,,,,,,,,
